look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 2 | taste: 2 | feel: 4.25 | overall: 2.5 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 As it says on the can, All Day is a beer for any setting, mood, or time of day. Because it is a session, you can relax and enjoy the refreshing rush of fruit and hop flavors and aroma without breaking the bank. A gold standard for any other IPA to compete against.   
look: 4.25 | smell: 3.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 All Day IPA is exactly what it claims to be. A perfect low ABV beer that has a ton of hop flavor. Can’t tell you how many festivals and camping trips this beer has been my go too for. Love the 15 pack and availability (especially east coast) will go down as one of my favorite beers of all time.   
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 Not an ipa fan. I dont like pine notes. This reminds me of grapefruit juice. The first 2 sips are too bitter but those note mellow half way through the first ones and it becomes one of the few IPAs I actually enjoy.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
