look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Hazy golden-orange with visible effervescence, a creamy white head, good retention, and streaky lacing.  Smells of ripe banana, clove, hay, dried apricot, pear, apple skin, honeydew melon, and toast.  The taste follows the nose. Banana and dried apricot upfront, followed by toast and cracker, apple, pear, lemon, honeydew melon, green grape, hay and clove. A hint of sweetness throughout, but finishes dry and spicy.  The feel is medium-plus-ish, highly carbonated like champagne, providing a prickling and pillowy sensation that quickly rolls across the palate and disappears into dryness.  A sensational American saison! One of the OG American saisons, this stands up to the test of the time. Phenomenal stuff.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 This pours a light hazy yellow with full monster white foam, and sticky lacing. The aroma/smell is a fruity pebbles/banana bread mix of slender...  As for taste...it is full with semi dry effervescence along with the fruit/hops on the German/Belgian side...Not much of a saison man myself, but a very nice and un-expected good brew with that complex mix of flavor and aroma. This may have changed my mind on saisons...and also perfect for this time of the New Year with that champagne like feel and semi dryness.  This is a very pleasurable drink...glad I went there.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 This is a really good saison. Quite complex. Primary notes I get from this are fresh peppercorn, honey, melon, exotic spice such as coriander, sweet grain and some yeast-derived dough flavors. Quite dry, which takes away from the drinkability, and the body is on the heavier side it feels. Smooth nevertheless, carbonation is crisp. Overall great beer   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 One of the better Saison's this side of the pond 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 Pours slightly misty gold with rocky head that dissipates quickly. Aroma of fruity esthers - flavour fruity and dry on finish. 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
