look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 Big dark chocolate, dates, raisins, roasted malts, some char, some coffee, slight licorice, the mouthfeel is medium to full. There is a bottled on date on the back. The 10.5% abv is well melded. If you're a stout lover then you might love this. Cheers! A-   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 No other beer has the balance of being a thick and hearty body, and just a bit of sweetness. The sweet flavor isn't forced, and it isn't too much. It is obviously naturally a residual essence from great ingredients and brewing - not like other beers that throw blobs of coffee, chocolate, or whatever, and rely upon them for the primary taste.  I should point out that this is not a beer for the meek. If you have ever had a bud, miller, coors, ... and thought "this is refreshing", this beer is too much for you to even watch someone pour from across the bar - and definitely too much flavor for you to handle.  I discovered the beer decades ago, and haven't found a better beer since.  #1 beer in the world.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 2016 vintage - Pours black with a creamy brown foam head. Smells like licorice, big bold dark fruit, black grapes, dark berries, blueberry, black cherry, toasted graham cracker, dark chocolate, caramel swirl, a little smoky, hint of vanilla, touch of herbal hop notes and a lingering dark coffee roast. Tastes rich and savory with dense dark baker’s chocolate, dark coffee roast, smoky, dark caramel, dark molasses, slight vanilla, toasted graham cracker, dark fruit, black grapes, blueberry, dark berries, black cherry, licorice, with a big herbal earthy hit from the hops. Feels medium bodied, creamy with smooth moderate carbonation. Overall a really nice Russian imperial stout.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 Poured into a tall clear pint glass. Jet black in appearance, half finger of light brown head, moderate retention and lacing.    Aroma consists mainly of dark chocolate and fudge. Notes of cream, leather, licorice, char, dark fruits, wood, and espresso. Very pleasant.    Roasted notes and coffee beans upfront. Notes again much like the aroma, in the order of leather, licorice, char, and wood, while the sweeter malts are least prominent. Hops dominate and provide a pleasant spiciness. Feels really smooth and balanced.     Excellent stout.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 2013 bottle, taste of dried plum, raisins, fig. Excellent RIS. 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 Quite possibly the best Bell's I've had to date...    I found this beer to be surprisingly special. I wasn't really expecting much but that's usually the time when the unexpected happens. The unexpected was simply what I got with this - from a beautifully dark beer with late forming, tan head (another unexpected surprise) to the roasted malt smell with chocolate notes - all of this was a very good first impression. Mouthfeel was a bit watery but still medium-bodied with a taste that matched. Yes sir, this is something unexpected, and good.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4.25 L — Pitch black in the glass with a half finger of light brown head produced with moderate pour. Good retention and great lacing	  S — Fudge, digestive bitters, leather, booze, umami, deep woodsiness	  T — Black licorice, chicory root, bittersweet chocolate, French roast coffee, herbaceous hoppiness, char, semi-sweet dark fruits   F — Thick and chewy. Big mouthfeel, medium- carb. Long lasting, roasty finish	  O — A big, bitter, roasty RIS. Decent stuff, although like most of Bell's offerings, they haven't quite kept up with the current state of brewing in America. Good price    82/100   
